Unnamed: 0_x,obsid,Heh,logg,teff,lamo,Ra,dec,snu
0,4509015,-2.617754936,5.351413727,28014.13281,LAMOST J022049.05+584509.0,35.2044,58.7525,16.44
1,32510100,-2.539285898,5.827270508,36004.58203,LAMOST J101722.05+452055.1,154.341906,45.348666,11.75
2,52806006,-2.702007055,5.600540161,29709.49609,LAMOST J194458.54+392222.1,296.243917,39.372806,10.17
3,58309212,-2.511012316,5.356539249,31588.85938,LAMOST J032251.46+034652.5,50.714452,3.781258,9.54
4,83904022,-2.586047411,5.827222824,24499.52734,LAMOST J020401.88+414748.8,31.007836,41.796898,26.96
5,99207013,-2.518245697,5.487398624,24901.43164,LAMOST J075702.65+261451.1,119.26105,26.247545,29.49
6,101115103,-2.133186579,5.132052422,28562.19141,LAMOST J062826.93+033720.8,97.112216,3.622458,20.94
7,142703046,-2.553371668,5.569363117,28625.79297,LAMOST J133014.18+134633.5,202.559117,13.775989,5.96
8,162404188,-2.414299011,5.283246517,28600.85547,LAMOST J030939.41+214533.5,47.414249,21.759315,40.19
9,171707230,-1.160423517,4.935107708,31814.73828,LAMOST J055940.69+201931.8,89.919564,20.325525,11.04
10,181914206,-2.832424879,5.902727604,28649.39063,LAMOST J034110.28+352832.9,55.292868,35.475821,13.08
11,195107200,-2.911122799,5.664676666,29370.55078,LAMOST J054842.40+211751.0,87.176683,21.297523,11.3
12,206312160,-2.375082731,5.33425951,30467.625,LAMOST J025731.08+524558.9,44.379517,52.766386,16.67
13,206510048,-2.138398647,5.175168514,25646.69531,LAMOST J123028.50+032654.8,187.618782,3.448578,11.7
14,208816099,-1.337004662,5.405881405,33665.95313,LAMOST J052142.56+082530.7,80.427374,8.425216,14.88
15,212705156,-2.660369396,5.243950367,29750.17383,LAMOST J104944.45+270143.2,162.435231,27.028673,11.69
16,212803144,-2.111599445,5.468666077,31459.18359,LAMOST J132709.00-005401.9,201.787517,-0.900548,10.39
17,228202103,-2.208718061,5.262084484,26972.46484,LAMOST J113602.07+191618.7,174.008657,19.271864,18.27
18,244016127,-1.102463245,5.28334856,32112.67578,LAMOST J025416.07+571414.2,43.566986,57.237281,28.78
19,259905095,-2.835317373,5.554123402,24643.67578,LAMOST J213441.07+133524.5,323.671163,13.590147,15.04
20,259908222,-2.996430874,5.380194187,24816.97656,LAMOST J213928.57+134559.9,324.869062,13.766639,8.28
21,269305132,-1.755196095,4.894113541,32164.69141,LAMOST J054423.57+321905.2,86.098231,32.318131,5.11
22,269511194,-2.286406279,5.66084671,26898.375,LAMOST J000324.47+584628.0,0.851989,58.774456,35.49
23,269512168,-2.444582939,5.591287613,28751.69531,LAMOST J001708.17+580702.1,4.284975,58.117315,61.91
24,274311060,-2.431197405,5.477444172,28613.05859,LAMOST J063021.44+220656.0,97.589356,22.115558,5.91
25,280705107,-2.252546787,5.215502262,29474.05078,LAMOST J093213.30+121142.3,143.055448,12.195084,18.96
26,282006094,-1.793265343,5.576541901,36241.03516,LAMOST J012632.94+312538.1,21.637257,31.427251,5.31
27,282604062,-2.847369432,5.29051733,24587.69922,LAMOST J001920.59+463306.8,4.835808,46.551897,68.78
28,309816048,-2.579943657,6.244923592,24403.47266,LAMOST J043546.54+354014.1,68.942704,35.670592,211.64
29,320411052,-2.877264023,5.627853394,33551.83594,LAMOST J144445.88+281016.5,221.191169,28.171261,5.79
30,331909001,-2.051558256,5.197257519,26654.63672,LAMOST J104039.66+135949.1,160.165267,13.996983,15.57
31,336711173,-2.862535954,5.602973938,24272.29688,LAMOST J125827.89+401144.0,194.616237,40.195564,12.54
32,351002036,-3.017942429,5.589517593,26080.39258,LAMOST J185724.28+472702.2,284.351177,47.450632,20.23
33,368509218,-2.121306419,5.911081314,39205.96094,LAMOST J011951.71+030438.4,19.965473,3.077354,5.49
34,379603081,-2.359283686,5.425825596,33794.17188,LAMOST J021511.09+230717.6,33.796241,23.12158,6.14
35,380405022,-2.545201063,5.31159687,27803.87109,LAMOST J225846.48+082549.0,344.69368,8.430286,16.96
36,380515137,-2.280907631,6.116403103,43805.66406,LAMOST J053827.66+364808.9,84.615278,36.802478,6.92
37,380812078,-1.891442776,5.348100185,26441.89844,LAMOST J021114.76+560732.6,32.811541,56.125749,52.86
38,393110154,-2.744912386,5.728985786,26373.57422,LAMOST J031943.94+484512.7,49.933123,48.753553,11.66
39,396305033,-2.627924442,5.909974098,27887.45313,LAMOST J070200.97+075308.8,105.503623,7.885703,30.04
40,400804210,-2.195931911,5.786994457,27079.07617,LAMOST J061724.73+125126.0,94.353065,12.857232,6.37
41,431613050,-2.207310915,5.778505802,28736.80078,LAMOST J063707.46+204532.6,99.281101,20.759071,9.51
42,432001188,-2.903966188,5.536896706,26629.9375,LAMOST J094053.23+082453.8,145.221825,8.414965,34.37
43,433603200,-2.973763466,5.406891346,27870.70898,LAMOST J125815.99+104114.1,194.566666,10.687275,11.07
44,433815103,-2.33113265,5.626394272,39333.10547,LAMOST J152814.38+524427.4,232.058309,52.740969,24.73
45,437316197,-1.19919467,5.119752884,32821.03906,LAMOST J060950.17+203703.6,92.4589,20.61813,116.32
46,441716051,-2.642254591,5.511529446,28230.47852,LAMOST J073253.21+154324.4,113.22172,15.723451,12.07
47,448004173,-2.714524031,5.392469883,29524.1543,LAMOST J174549.02+150718.1,266.45426,15.121716,20.73
48,449908033,-2.398988485,5.516562939,27172.66406,LAMOST J170824.86+031512.8,257.103624,3.253559,38.55
49,450409225,-2.679414749,5.892306328,26627.21875,LAMOST J175650.66+063746.3,269.211124,6.62955,28.67
50,453513207,-1.801693439,5.557205677,38781.25781,LAMOST J104521.89+364504.8,161.341244,36.751342,8.5
51,457908156,-2.384895086,5.238080502,27353.01953,LAMOST J145831.43+354900.5,224.630998,35.816832,15.54
52,461304061,-2.997733355,6.059898376,27395.10742,LAMOST J193701.26+281403.1,294.255267,28.234204,7.97
53,468913215,-2.304642439,5.652414322,28077.89453,LAMOST J015433.16+560100.9,28.63817,56.016928,7.77
54,469008095,-2.666326284,5.527416706,26576.25586,LAMOST J194246.49+282508.9,295.693718,28.419162,16.97
55,469204085,-2.468900442,5.952769279,34274.60938,LAMOST J232114.18+480058.5,350.309118,48.016255,8.7
56,469615236,-2.664104939,5.094820499,34905.58203,LAMOST J212538.02+090353.0,321.408458,9.06474,27.37
57,486810180,-2.366484404,5.456280231,28053.45898,LAMOST J060334.98+221938.6,90.89575,22.327389,293.82
58,487204031,-2.907814026,5.246196747,24376.23828,LAMOST J101537.71+022341.2,153.907135,2.394787,8.32
59,505402140,-2.320681572,5.313644409,25458.41797,LAMOST J092733.29+265015.8,141.888725,26.837733,7.37
60,507904046,-2.090480089,5.46876812,28207.11719,LAMOST J103732.08+323125.7,159.383673,32.523829,7.11
61,524013218,-2.184452772,5.249714375,27693.43359,LAMOST J032246.92+481009.5,50.695504,48.169316,28.28
62,525411220,-0.633785486,5.312063217,28686.57031,LAMOST J061219.19+253453.0,93.07997,25.5814,174.2
63,526004091,0.271910191,5.931108952,43857.625,LAMOST J133831.27+331040.9,204.630312,33.178048,6
64,529605065,-2.590022802,5.382156849,28073.21875,LAMOST J060844.47+223019.8,92.185333,22.505509,6.74
65,529606085,-1.774821758,5.35214138,28676.43164,LAMOST J061825.07+224300.5,94.604464,22.71681,75.35
66,529610029,-0.675865173,5.39781189,31032.83594,LAMOST J060437.03+222132.0,91.154333,22.358898,71.41
67,529610157,-3.011982679,5.557775974,27981.33789,LAMOST J060535.26+222341.1,91.396946,22.394767,69.03
68,531107136,-2.748818159,5.574080467,30550.04297,LAMOST J061102.92+484148.0,92.762176,48.696683,6.17
69,545404103,-2.892348766,5.854815483,28707.79297,LAMOST J061340.67+225236.8,93.419491,22.876897,46.21
70,546101178,-2.905546904,5.870727539,30323.30469,LAMOST J104118.76+034156.5,160.328197,3.699046,5.66
71,547203046,-2.296087027,5.40796423,31244.94141,LAMOST J134836.15+281942.2,207.150636,28.32839,10.56
72,552312067,-2.874366283,5.151898861,33525.48438,LAMOST J114459.33+414510.0,176.247242,41.752781,18.31
73,552716148,-2.431286335,5.757405281,26919.16406,LAMOST J060805.57+251101.5,92.023242,25.18377,31.28
74,555115195,-1.419770122,5.650923252,28988.99414,LAMOST J061010.61+235010.9,92.544223,23.836371,33.59
75,563711197,-3.123845816,5.342119217,27650.46875,LAMOST J152109.19+345720.4,230.288307,34.955679,13.56
76,566903091,-2.02139473,5.152799129,33353.03906,LAMOST J165248.85+385740.6,253.203549,38.961302,18.44
77,568004020,-2.444807053,5.151805401,32082.35938,LAMOST J172008.66+401017.0,260.036089,40.171403,20.64
78,569702234,-2.416182995,6.064002991,37281.76953,LAMOST J142442.94+414931.8,216.177176,41.825508,18.04
79,573408110,-2.407443285,5.333114624,27986.32227,LAMOST J153458.40+395236.8,233.74335,39.876916,11.05
80,582309095,-2.572432756,4.849455357,34705.54688,LAMOST J133232.03+274200.1,203.133462,27.700046,30.22
81,582410007,-2.598161697,5.687855721,25039.31641,LAMOST J152336.54+435106.0,230.902252,43.851686,7.2
82,582503204,-2.50881362,5.232460499,34260.82031,LAMOST J152921.93+443253.0,232.341379,44.548067,39.8
83,582705150,-2.049827099,5.46483469,27769.25586,LAMOST J114239.45+010752.5,175.664413,1.13127,8.34
84,582915160,-2.489740372,5.859632969,44280.69922,LAMOST J143949.24+275108.9,219.9552,27.852478,6.32
85,584204047,-2.895263195,5.372584343,28047.19531,LAMOST J164341.10+462509.5,250.921271,46.419307,13.46
86,588112214,-2.95700717,5.161554337,27838.83594,LAMOST J195242.01+494326.3,298.175061,49.723976,11.39
87,601708032,-2.920618773,5.691949844,24395.40625,LAMOST J084641.25+212819.5,131.671915,21.472095,12.22
88,613910100,-1.875388384,6.051197529,41200.16016,LAMOST J015523.78+173835.4,28.849089,17.643193,8.28
89,615312156,-1.539906025,5.831830502,38265.55469,LAMOST J061848.39+242518.5,94.701625,24.421817,7.45
90,620206231,-2.810282707,5.698242188,26330.89258,LAMOST J061756.53+223747.0,94.48555,22.629733,17.43
91,641208087,-2.310551643,5.499549389,26035.04492,LAMOST J061730.04+132207.0,94.375204,13.368614,10.13
92,641303189,-1.955759525,5.698768616,28497.36328,LAMOST J081722.64-010633.1,124.344334,-1.109222,5.65
93,642911062,-2.661233187,5.253858566,34180.73438,LAMOST J122128.66+580842.1,185.369444,58.14504,5.41
94,643709220,-2.616961241,5.094756603,26087.38672,LAMOST J055758.74+175300.3,89.494759,17.883426,27.44
95,643811090,-3.050697803,5.640347004,26777.67578,LAMOST J070916.03+341930.9,107.316795,34.325272,23.67
96,644402039,-2.73681283,4.998904705,32442.2168,LAMOST J112349.00+140236.2,170.954185,14.043392,14.34
97,644815154,-2.433255911,5.623555183,23822.63672,LAMOST J144546.39+234845.9,221.443321,23.812761,111.28
98,648614119,-2.384177923,5.561531067,28727.73633,LAMOST J060506.59+255908.2,91.277478,25.985634,8.74
99,648806235,-2.560667276,5.473914623,27010.05469,LAMOST J071125.96+353732.6,107.858187,35.625728,48.81
100,651112128,-2.614165783,5.498607635,26980.08008,LAMOST J150706.86+122358.7,226.778618,12.399644,16.92
101,656309148,-2.346745968,5.525850773,25111.1875,LAMOST J071807.63+142202.9,109.53283,14.367943,38.66
